LABEL ,COMMENTS
Negative ,I'm back and unimpressed. The film is the second worse In the franchise.
Neutral ,What timeline did a jump to?? I remember waiting for 2023 for this movie to be released this past summer 😳
Negative ,The worst part of this are the dinosaurs thriving in the winter snow.
Neutral ,Baby blue
Positive ,WOW
Positive ,"This movie was amazing. It was well thought out, and the visuals were stunning. A great way to end the trilogy"
Neutral ,going watch
Neutral ,All Jurassic Park movies belong to Sam Neil... Nobody can do this better than him
Neutral ,"Funny you don't see any Mammoths in these films, because we can clone them in real life unlike dinosaurs."
Negative ,Those raptor sounds are really getting old. Jeez come on where are the good movies? New Jurassic park is crappy compared to the first one.
Negative ,Bad movie
Negative ,hey kids skip this turkey. you are better off going back to your drag queen story hour
Neutral ,a trumpet dinosaur
Negative ,"The only marks I can give this is, it is a bigger load of rubbish than the one before it."
Negative ,"Didn't enjoy it, goes to long."
Negative ,It's so funny how only white people in this movie are truly one dimensional evil people.
Neutral ,I am going to watch today
Negative ,Nice trailer but script is🤮. Stop ruining classics.
Neutral ,They were extinct for a reason
Negative ,This movie is a fucking train wreck.
Negative ,some of the actors in this aren't fit for the roles at all
Positive ,"A few good moments, above average action and infusion of several characters with justice done in terms of screen presence. It's definitely not a bad movie, you can watch it with family."
Positive ,An adventure 65 million and 29 years in the making. I can't begin to describe how much this franchise means to me. It's been with me ever since my childhood.
Negative ,So trash this movie. Fooled us all with the trailer.
Negative ,The new Jurassic movies suck so bad
Positive ,the music wow
Neutral ,The us and the world should find a way to bring back Dino's I should love to live with Dino's
Negative ,I want a refund and a memory eraser. Please
Negative ,This movie is a rotten tomato and rotten egg salad. How did this happen 😳😳😳
Negative ,Poachers in a world filled with dinosaurs as pest. Wtf is this shitty f movie
Negative ,22 minutes now. Shoot me know. Two dinosaurs bone doctors thinking they know bugs lol 😂😂😂😂😂😆
Negative ,10 minutes in and everything so far sucks. No punch no purpose. Lame ... Very lame.i want my 24.99 from Amazon back. Just no back bone
Neutral ,“Life will find a way”
Neutral ,"Some of the dinosaur scenes were spot on in many ways, but as a whole the movie felt like watching nothing and the plot was abysmal."
Positive ,This movie was amazing I dont care what people say about it its amazing and I love it the only bad thing is that they dont explain why Biosyn made the locusts in the first place
Negative ,How abought this watched the first hour. It sucks!!!! Who wrote the storyline. You bring back the stars and give us a piece of shit.
Positive ,I'm grateful that the movie didn't get banned
Neutral ,My favorite dinosaur is a T-Rex
Positive ,Good movie
Negative ,Worst jurassic movie I've ever seen
Negative ,Worst movie ever 😅🤦‍♂️
Neutral ,I'm waiting dragon in Jurassic world
Negative ,God this movie was awful
Negative ,I could never get over the hand controlling “hey calm down what did I say!!!” To the dinosaurs… they lost me on that
Negative ,How can you out run a raptor🦖
Negative ,Dinosaurs are impactful when they are portraited as killing giants rather than presenting them as pets and running around our cities. To be honest I didn't liked it
Neutral ,I didnt know blue would have young in this movie
Negative ,After about the 2nd movie they’ve become stupid
Negative ,I think they are on somekinda drugs to make such a stupid script.  4/10
Negative ,Awful viewing. Locusts the main story line ffs
Negative ,After watching this movie i hope they never make another one! This movie sucked!
Negative ,"Worst movie, that i've seen, for a long time👎🤮"
Negative ,What a complete disappointment to what was an amazing franchise.
Positive ,"After seeing on Amazon prime , regret why i didnt watch in theatre..this movie is not bad as the critics and audience rated..first 20 mins was slight slow..but later it wS good..enjoyable"
Neutral ,Putting the old cast back on the screen? They really be bringing dinos back to life.
Negative ,I get the feeling this movie is made by hollywood socialists. Its really a hopeless thriller compared to the old ones.
Negative ,"Great effects, great sound, good actors but the story was disappointing and weak"
